index;Heure;Minute;Seconde;D_Lat;D_Lon;Quality;X;Y;perX;perY;pixX;pixY;Ah;V;A;S;D;Deg;RPM
7576;11;24;56;43,7726805;-0,0430531666666667;1;-3457,01795526409;4867299,99723321;0,646805320428475;0,188224046789326;606,70339056191;156,41418288193;0,272;33,08;0,21;32,89;1,0841;21,7;0
7585;11;24;57;43,7726606666667;-0,0429461666666667;1;-3448,42623135962;4867297,79186716;0,65059467159218;0,190454766993396;610,257801953465;158,267911371512;0,272;33,09;0,21;33,04;1,0921;21,7;0
7595;11;24;58;43,7726535;-0,042824;1;-3438,6166774313;4867296,99497019;0,654921142624883;0,191260825554761;614,31603178214;158,937746036006;0,2721;33,09;0,21;33,24;1,1015;21,7;0
7605;11;24;59;43,772654;-0,0426956666666667;1;-3428,31196184494;4867297,05056765;0,659466003054872;0,191204588909718;618,57911086547;158,891013383975;0,2721;33,09;0,21;33,44;1,1109;21,7;0
7615;11;25;0;43,7726273333333;-0,0425858333333333;1;-3419,49273123271;4867294,08536961;0,663355695293005;0,194203876579714;622,227642184838;161,383421437742;0,2722;33,09;0,21;33,49;1,1204;21,7;0
7625;11;25;1;43,772597;-0,0424788333333333;1;-3410,90100732824;4867290,71245683;0,667145046456709;0,197615566303309;625,782053576393;164,21853559805;0,2722;33,09;0,21;33,49;1,1298;21,7;0
7635;11;25;2;43,7725633333333;-0,0423771666666667;1;-3402,73753134424;4867286,9688943;0,670745520303843;0,201402166986008;629,159298045004;167,365200765373;0,2723;33,1;0,22;33,39;1,1393;21,7;0
7645;11;25;3;43,7725151666667;-0,0422868333333333;1;-3395,48408219124;4867281,61300533;0,673944629853263;0,206819630338213;632,160062802361;171,867112811055;0,2724;33,11;0,21;33,24;1,1487;21,7;0
7655;11;25;4;43,7724681666667;-0,0421958333333333;1;-3388,17710204819;4867276,38684378;0,677167349067255;0,212105874855438;635,182973425085;176,259982004869;0,2724;33,11;0,21;33,14;1,1581;21,7;0
7665;11;25;5;43,7724151666667;-0,042112;1;-3381,44558004827;4867270,49351267;0,680136264387104;0,218066959097165;637,967815995104;181,213643009744;0,2725;33,1;0,21;33,09;1,1661;21,7;0
